







root:	 win_komis:1557328	 total_komis:3394546	 total_plays:69559
Node:7 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:7 2	win_komis:643	 total_komis:1991	 total_plays:40	 pattern_win:0
Node:7 3	win_komis:12403	 total_komis:24099	 total_plays:511	 pattern_win:0
Node:7 4	win_komis:56223	 total_komis:104193	 total_plays:2155	 pattern_win:0
Node:7 5	win_komis:2317	 total_komis:5147	 total_plays:112	 pattern_win:0
Node:7 6	win_komis:27	 total_komis:421	 total_plays:10	 pattern_win:0
Node:7 7	win_komis:1179	 total_komis:2843	 total_plays:51	 pattern_win:0
Node:7 8	win_komis:8786	 total_komis:17324	 total_plays:352	 pattern_win:0
Node:7 9	win_komis:620	 total_komis:1636	 total_plays:37	 pattern_win:0
Node:7 10	win_komis:236690	 total_komis:435508	 total_plays:9113	 pattern_win:0
Node:7 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:7 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:8 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:8 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:8 2	win_komis:7305	 total_komis:14625	 total_plays:298	 pattern_win:0
Node:8 3	win_komis:22449	 total_komis:42039	 total_plays:860	 pattern_win:0
Node:8 4	win_komis:21640	 total_komis:41218	 total_plays:845	 pattern_win:0
Node:8 5	win_komis:2197	 total_komis:4995	 total_plays:85	 pattern_win:0
Node:8 6	win_komis:341	 total_komis:1145	 total_plays:18	 pattern_win:0
Node:8 7	win_komis:53134	 total_komis:98030	 total_plays:2082	 pattern_win:0
Node:8 8	win_komis:405	 total_komis:1223	 total_plays:25	 pattern_win:0
Node:8 9	win_komis:7593	 total_komis:15083	 total_plays:273	 pattern_win:0
Node:8 10	win_komis:3750	 total_komis:8134	 total_plays:167	 pattern_win:0
Node:8 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:8 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:9 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:9 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:9 2	win_komis:2629	 total_komis:5717	 total_plays:99	 pattern_win:0
Node:9 4	win_komis:93979	 total_komis:174339	 total_plays:3547	 pattern_win:0
Node:9 5	win_komis:5421	 total_komis:10673	 total_plays:231	 pattern_win:0
Node:9 6	win_komis:34503	 total_komis:63969	 total_plays:1297	 pattern_win:0
Node:9 7	win_komis:49807	 total_komis:90407	 total_plays:1829	 pattern_win:0
Node:9 8	win_komis:44294	 total_komis:83238	 total_plays:1725	 pattern_win:0
Node:9 9	win_komis:3732	 total_komis:7914	 total_plays:131	 pattern_win:0
Node:9 10	win_komis:1344	 total_komis:3408	 total_plays:67	 pattern_win:0
Node:9 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:9 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:10 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:10 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:10 2	win_komis:808	 total_komis:2078	 total_plays:35	 pattern_win:0
Node:10 3	win_komis:296	 total_komis:1036	 total_plays:20	 pattern_win:0
Node:10 4	win_komis:8267	 total_komis:15973	 total_plays:323	 pattern_win:0
Node:10 5	win_komis:29024	 total_komis:54444	 total_plays:1102	 pattern_win:0
Node:10 6	win_komis:12678	 total_komis:23936	 total_plays:459	 pattern_win:0
Node:10 7	win_komis:7026	 total_komis:14096	 total_plays:285	 pattern_win:0
Node:10 8	win_komis:2179	 total_komis:4719	 total_plays:90	 pattern_win:0
Node:10 9	win_komis:57949	 total_komis:106669	 total_plays:2168	 pattern_win:0
Node:10 10	win_komis:46397	 total_komis:87419	 total_plays:1770	 pattern_win:0
Node:10 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:10 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
